Node, Degree, Closeness Centrality, Betweenness Centrality, Degree Centrality
City Feels so Alive,9,0.513888889,0.350600601,0.243243243
Martyrdom Operation,9,0.480519481,0.350600601,0.243243243
Bravery,4,0.606557377,0.52027027,0.108108108
Sacrifice,4,0.451219512,0.157657658,0.108108108
Mosul Freedom,3,0.596774194,0.342342342,0.081081081
Defeat is Imminent,4,0.480519481,0.157657658,0.108108108
Stabilize and Restore,9,0.660714286,0.662912913,0.243243243
Martyrdom,3,0.552238806,0.342342342,0.081081081
Med Surprise (.5),1,0.5,0,0.027027027
