10890	1
10897	2
10894	3
344	4
341	5
342	6
343	7
811	8
812	9
813	10
814	11
298	12
299	13
296	14
297	15
294	16
295	17
292	18
293	19
1661	20
291	21
1081	22
1080	23
195	24
1121	25
1122	26
1123	27
1124	28
1125	29
193	30
192	31
194	32
1014	33
1011	34
1012	35
1013	36
1234	37
1231	38
1232	39
1233	40
108	41
102	42
103	43
100	44
101	45
106	46
107	47
104	48
105	49
2046	50
2047	51
39	52
38	53
2042	54
2043	55
2041	56
33	57
32	58
31	59
30	60
37	61
36	62
35	63
34	64
3092	65
1243	66
3091	67
3096	68
1244	69
1246	70
331	71
333	72
332	73
2061	74
91	75
90	76
93	77
92	78
94	79
1623	80
1622	81
1621	82
2065	83
234	84
2944	85
2943	86
231	87
232	88
233	89
1051	90
1052	91
1053	92
1054	93
1055	94
144	95
145	96
142	97
143	98
140	99
141	100
154	101
2082	102
2083	103
2080	104
2081	105
3112	106
1306	107
13831	108
1302	109
133	110
132	111
131	112
130	113
137	114
136	115
135	116
134	117
139	118
138	119
24	120
25	121
26	122
27	123
20	124
21	125
22	126
23	127
28	128
29	129
403	130
402	131
401	132
1951	133
1952	134
82	135
83	136
80	137
81	138
86	139
87	140
84	141
85	142
1712	143
1711	144
244	145
241	146
243	147
242	148
1434	149
1432	150
1433	151
1431	152
1663	153
1662	154
10907	155
10903	156
1224	157
1223	158
1222	159
1221	160
176	161
175	162
174	163
173	164
172	165
171	166
170	167
2052	168
2057	169
182	170
183	171
180	172
181	173
186	174
184	175
185	176
196	177
191	178
190	179
11	180
13211	181
13	182
12	183
15	184
14	185
17	186
16	187
861	188
18	189
863	190
862	191
201	192
200	193
203	194
202	195
204	196
75	197
74	198
73	199
72	200
71	201
70	202
1043	203
1042	204
1041	205
1044	206
1313	207
1312	208
1311	209
1310	210
120	211
121	212
122	213
123	214
124	215
125	216
126	217
127	218
128	219
129	220
1821	221
1823	222
1822	223
2068	224
19	225
1384	226
1385	227
1386	228
1387	229
1381	230
1382	231
1383	232
313	233
312	234
311	235
314	236
832	237
833	238
831	239
834	240
1832	241
1833	242
1830	243
1831	244
1834	245
1724	246
1722	247
1723	248
1721	249
29949	250
29948	251
29945	252
29944	253
29947	254
29946	255
29941	256
29943	257
29942	258
60	259
61	260
62	261
63	262
64	263
252	264
253	265
251	266
256	267
254	268
255	269
1421	270
1423	271
1422	272
1424	273
1032	274
1033	275
1031	276
1034	277
1212	278
1213	279
1211	280
1214	281
2044	282
2045	283
164	284
165	285
166	286
160	287
161	288
162	289
163	290
1454	291
1451	292
1452	293
1453	294
2048	295
1241	296
3431	297
874	298
872	299
873	300
871	301
1242	302
1245	303
356	304
355	305
354	306
353	307
352	308
351	309
214	310
212	311
213	312
211	313
3101	314
55	315
54	316
57	317
56	318
51	319
50	320
53	321
52	322
1411	323
1412	324
1413	325
1414	326
1322	327
1323	328
1321	329
1324	330
115	331
114	332
116	333
111	334
110	335
113	336
112	337
2079	338
2078	339
2077	340
2074	341
842	342
841	343
29956	344
29954	345
29955	346
29953	347
151	348
150	349
153	350
152	351
155	352
1161	353
1162	354
3109	355
46	356
3105	357
44	358
45	359
42	360
43	361
40	362
41	363
1444	364
1443	365
1442	366
1441	367
1293	368
1290	369
1291	370
1297	371
10	372
11313	373
11312	374
